game_id,league,away_team_id,home_team_id,away_team_box_score,home_team_box_score,stadium,location,tv_coverage,betting_line,betting_over_under,stadium_capacity,attendance,away_win_pct,home_win_pct,away_quarter1,away_quarter2,away_quarter3,away_quarter4,away_overtime,away_total,home_quarter1,home_quarter2,home_quarter3,home_quarter4,home_overtime,home_total,game_time,game_date
401570467,MLB,nym,ari,,,Chase Field,"Phoenix, Arizona",,,,48359,,,,,,,,,,,,,,,,9:40 PM,"August 28, 2024"
401570461,MLB,bal,lad,,,Dodger Stadium,"Los Angeles, California",,,,56000,,,,,,,,,,,,,,,,10:10 PM,"August 28, 2024"
401570474,MLB,laa,det,,,Comerica Park,"Detroit, Michigan",,,,41083,,,,,,,,,,,,,,,,1:10 PM,"August 29, 2024"
401570482,MLB,sf,mil,,,American Family Field,"Milwaukee, Wisconsin",,,,41700,,,,,,,,,,,,,,,,2:10 PM,"August 29, 2024"
401570483,MLB,tex,chw,,,Guaranteed Rate Field,"Chicago, Illinois",,,,40241,,,,,,,,,,,,,,,,2:10 PM,"August 29, 2024"
401570481,MLB,sd,stl,,,Busch Stadium,"St. Louis, Missouri",,,,44494,,,,,,,,,,,,,,,,2:15 PM,"August 29, 2024"
401570478,MLB,mia,col,,,Coors Field,"Denver, Colorado",,,,50144,,,,,,,,,,,,,,,,3:10 PM,"August 29, 2024"
401570479,MLB,nym,ari,,,Chase Field,"Phoenix, Arizona",,,,48359,,,,,,,,,,,,,,,,3:40 PM,"August 29, 2024"
401570480,MLB,oak,cin,,,Great American Ball Park,"Cincinnati, Ohio",,,,43891,,,,,,,,,,,,,,,,5:10 PM,"August 29, 2024"
401570475,MLB,atl,phi,,,Citizens Bank Park,"Philadelphia, Pennsylvania",,,,42901,,,,,,,,,,,,,,,,6:40 PM,"August 29, 2024"
401570484,MLB,tor,bos,,,Fenway Park,"Boston, Massachusetts",,,,37755,,,,,,,,,,,,,,,,7:10 PM,"August 29, 2024"
401570477,MLB,kc,hou,,,Minute Maid Park,"Houston, Texas",,,,41000,,,,,,,,,,,,,,,,8:10 PM,"August 29, 2024"
401570476,MLB,bal,lad,,,Dodger Stadium,"Los Angeles, California",,,,56000,,,,,,,,,,,,,,,,10:10 PM,"August 29, 2024"
401570485,MLB,atl,phi,,,Citizens Bank Park,"Philadelphia, Pennsylvania",,,,42901,,,,,,,,,,,,,,,,6:40 PM,"August 30, 2024"
401570487,MLB,bos,det,,,Comerica Park,"Detroit, Michigan",,,,41083,,,,,,,,,,,,,,,,6:40 PM,"August 30, 2024"
401570492,MLB,mil,cin,,,Great American Ball Park,"Cincinnati, Ohio",,,,43891,,,,,,,,,,,,,,,,6:40 PM,"August 30, 2024"
401570488,MLB,chc,wsh,,,Nationals Park,"Washington, District of Columbia",,,,41376,,,,,,,,,,,,,,,,6:45 PM,"August 30, 2024"
401570496,MLB,sd,tb,,,Tropicana Field,"St. Petersburg, Florida",,,,25025,,,,,,,,,,,,,,,,6:50 PM,"August 30, 2024"
401570498,MLB,stl,nyy,,,Yankee Stadium,"Bronx, New York",,,,47309,,,,,,,,,,,,,,,,7:05 PM,"August 30, 2024"
401570495,MLB,pit,cle,,,Progressive Field,"Cleveland, Ohio",,,,34788,,,,,,,,,,,,,,,,7:10 PM,"August 30, 2024"
401570494,MLB,oak,tex,,,Globe Life Field,"Arlington, Texas",,,,40000,,,,,,,,,,,,,,,,8:05 PM,"August 30, 2024"
401570489,MLB,kc,hou,,,Minute Maid Park,"Houston, Texas",,,,41000,,,,,,,,,,,,,,,,8:10 PM,"August 30, 2024"
401570493,MLB,nym,chw,,,Guaranteed Rate Field,"Chicago, Illinois",,,,40241,,,,,,,,,,,,,,,,8:10 PM,"August 30, 2024"
