game_id,league,away_team,home_team,location,tv_coverage,betting_line,betting_over_under,attendance,away_win_pct,home_win_pct,away_quarter1,away_quarter2,away_quarter3,away_quarter4,away_overtime,away_total,home_quarter1,home_quarter2,home_quarter3,home_quarter4,home_overtime,home_total,game_time,game_date,game_month,game_day,game_year,away_team_name,away_team_mascot,primary_color_x,secondary_color_x,accent_color_x,away_team_logo,away_team_conference,away_team_conference_wins,away_team_conference_losses,away_team_conference_ties,away_team_overall_wins,away_team_overall_losses,away_team_overall_ties,home_team_name,home_team_mascot,primary_color_y,secondary_color_y,accent_color_y,home_team_logo,home_team_conference,home_team_conference_wins,home_team_conference_losses,home_team_conference_ties,home_team_overall_wins,home_team_overall_losses,home_team_overall_ties,location_id,stadium,stadium_capacity,city,state,latitude,longitude
401628582,CFB,160,2116,11,Coverage: ESPN+,,,44206,,,0,3,0,0,0.0,3,6,23,28,0,0.0,57,7:00 PM,"August 29, 2024",8.0,29.0,2024.0,New Hampshire,Wildcats,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/160.png,CAA,0.0,0.0,0.0,0.0,0.0,0.0,UCF,Knights,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2116.png,Big 12,0.0,0.0,0.0,0.0,0.0,0.0,11,FBC Mortgage Stadium,0,Orlando,FL,28.60831635,-81.19262425165596
401644727,CFB,322,2084,12,Coverage: ESPN+,,,16400,,,0,0,6,7,0.0,13,13,3,7,7,0.0,30,7:00 PM,"August 29, 2024",8.0,29.0,2024.0,Lafayette,Leopards,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/322.png,Patriot,0.0,0.0,0.0,0.0,0.0,0.0,Buffalo,Bulls,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2084.png,MAC,0.0,0.0,0.0,0.0,0.0,0.0,12,UB Stadium,0,Buffalo,NY,42.999058649999995,-78.77744130513912
401644729,CFB,2230,189,13,Coverage: ESPN+,,,12786,,,0,3,7,7,0.0,17,20,7,7,7,0.0,41,7:00 PM,"August 29, 2024",8.0,29.0,2024.0,Fordham,Rams,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2230.png,Patriot,0.0,0.0,0.0,0.0,0.0,0.0,Bowling Green,Falcons,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/189.png,MAC,0.0,0.0,0.0,0.0,0.0,0.0,13,Doyt L. Perry Stadium,0,Bowling Green,OH,41.3780256,-83.62249751671973
401644730,CFB,2115,2117,14,Coverage: ESPN+,,,18055,,,7,0,3,0,0.0,10,14,28,24,0,0.0,66,7:00 PM,"August 29, 2024",8.0,29.0,2024.0,Central Connecticut,Blue Devils,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2115.png,NEC,0.0,0.0,0.0,0.0,0.0,0.0,Central Michigan,Chippewas,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2117.png,MAC,0.0,0.0,0.0,0.0,0.0,0.0,14,Kelly/Shorts Stadium,0,Mount Pleasant,MI,43.57762285,-84.77105139145428
401628320,CFB,2029,8,15,Coverage: ESPNU,,,40127,,,0,0,0,0,0.0,0,28,21,7,14,0.0,70,7:30 PM,"August 29, 2024",8.0,29.0,2024.0,Arkansas-Pine Bluff,Golden Lions,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2029.png,SWAC,0.0,0.0,0.0,0.0,0.0,0.0,Arkansas,Razorbacks,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/8.png,SEC,0.0,0.0,0.0,0.0,0.0,0.0,15,War Memorial Stadium (AR),0,Little Rock,AR,34.7498294,-92.3301284742888
401644728,CFB,2184,2649,16,Coverage: ESPN+,,,23515,,,7,3,0,0,0.0,10,21,7,14,7,0.0,49,7:30 PM,"August 29, 2024",8.0,29.0,2024.0,Duquesne,Dukes,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2184.png,NEC,0.0,0.0,0.0,0.0,0.0,0.0,Toledo,Rockets,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2649.png,MAC,0.0,0.0,0.0,0.0,0.0,0.0,16,Glass Bowl,0,Toledo,OH,,
401634206,CFB,2449,38,17,Coverage: ESPN,,,49438,,,10,10,0,6,0.0,26,14,3,7,7,0.0,31,8:00 PM,"August 29, 2024",8.0,29.0,2024.0,North Dakota State,Bison,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2449.png,MVFC,0.0,0.0,0.0,0.0,0.0,0.0,Colorado,Buffaloes,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/38.png,Big 12,0.0,0.0,0.0,0.0,0.0,0.0,17,Folsom Field,0,Boulder,CO,40.009388799999996,-105.2660794290957
401640998,CFB,324,55,18,Coverage: CBSSN,,,18977,,,17,14,10,14,0.0,55,3,7,0,17,0.0,27,8:00 PM,"August 29, 2024",8.0,29.0,2024.0,Coastal Carolina,Chanticleers,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/324.png,Sun Belt,0.0,0.0,0.0,0.0,0.0,0.0,Jacksonville State,Gamecocks,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/55.png,CUSA,0.0,0.0,0.0,0.0,0.0,0.0,18,AmFirst Stadium,0,Jacksonville,AL,,
401645316,CFB,2016,5,19,Coverage: ESPN+,,,21267,,,3,0,0,0,0.0,3,14,14,3,10,0.0,41,8:00 PM,"August 29, 2024",8.0,29.0,2024.0,Alcorn State,Braves,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2016.png,SWAC,0.0,0.0,0.0,0.0,0.0,0.0,UAB,Blazers,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/5.png,American,0.0,0.0,0.0,0.0,0.0,0.0,19,Protective Stadium,0,Birmingham,AL,33.5275724,-86.80906255479098
401645317,CFB,2545,2655,20,Coverage: ESPN+,,,20143,,,0,0,0,0,0.0,0,7,14,14,17,0.0,52,8:00 PM,"August 29, 2024",8.0,29.0,2024.0,SE Louisiana,Lions,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2545.png,Southland,0.0,0.0,0.0,0.0,0.0,0.0,Tulane,Green Wave,,,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2655.png,American,0.0,0.0,0.0,0.0,0.0,0.0,20,Yulman Stadium,0,New Orleans,LA,29.94465095,-90.11605108688298
