team_id,league,name,mascot,logo_url,conference_name,conference_wins,conference_losses,conference_ties,overall_wins,overall_losses,overall_ties
2097,CFB,Campbell,Fighting Camels,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2097.png,CAA,0.0,0.0,0.0,0.0,0.0,0.0
257,CFB,Richmond,Spiders,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/257.png,CAA,0.0,0.0,0.0,0.0,0.0,0.0
2619,CFB,Stony Brook,Seawolves,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2619.png,CAA,0.0,0.0,0.0,0.0,0.0,0.0
119,CFB,Towson,Tigers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/119.png,CAA,0.0,0.0,0.0,0.0,0.0,0.0
2199,CFB,Eastern Michigan,Eagles,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2199.png,MAC,0.0,0.0,0.0,0.0,0.0,0.0
2046,CFB,Austin Peay,Governors,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2046.png,UAC,0.0,0.0,0.0,0.0,0.0,0.0
2110,CFB,Central Arkansas,Bears,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2110.png,UAC,0.0,0.0,0.0,0.0,0.0,0.0
253,CFB,Southern Utah,Thunderbirds,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/253.png,UAC,0.0,0.0,0.0,0.0,0.0,0.0
2193,CFB,East Tennessee State,Buccaneers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2193.png,Southern,0.0,0.0,0.0,0.0,0.0,0.0
282,CFB,Indiana State,Sycamores,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/282.png,MVFC,0.0,0.0,0.0,0.0,0.0,0.0
155,CFB,North Dakota,Fighting Hawks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/155.png,MVFC,0.0,0.0,0.0,0.0,0.0,0.0
2449,CFB,North Dakota State,Bison,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2449.png,MVFC,0.0,0.0,0.0,0.0,0.0,0.0
2571,CFB,South Dakota State,Jackrabbits,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2571.png,MVFC,0.0,0.0,0.0,0.0,0.0,0.0
79,CFB,Southern Illinois,Salukis,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/79.png,MVFC,0.0,0.0,0.0,0.0,0.0,0.0
302,CFB,UC Davis,Aggies,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/302.png,Big Sky,0.0,0.0,0.0,0.0,0.0,0.0
2247,CFB,Georgia State,Panthers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2247.png,Sun Belt,0.0,0.0,0.0,0.0,0.0,0.0
2277,CFB,Houston Christian,Huskies,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2277.png,Southland,0.0,0.0,0.0,0.0,0.0,0.0
195,CFB,Ohio,Bobcats,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/195.png,MAC,0.0,0.0,0.0,0.0,0.0,0.0
