name,mascot,logo_url,conference_name,team_id,conference_wins,conference_losses,conference_ties,overall_wins,overall_losses,overall_ties
Stony Brook,Seawolves,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2619.png,CAA,2619,0.0,0.0,0.0,0.0,0.0,0.0
Towson,Tigers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/119.png,CAA,119,0.0,0.0,0.0,0.0,0.0,0.0
Eastern Michigan,Eagles,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2199.png,MAC,2199,0.0,0.0,0.0,0.0,0.0,0.0
Austin Peay,Governors,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2046.png,UAC,2046,0.0,0.0,0.0,0.0,0.0,0.0
Central Arkansas,Bears,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2110.png,UAC,2110,0.0,0.0,0.0,0.0,0.0,0.0
Southern Utah,Thunderbirds,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/253.png,UAC,253,0.0,0.0,0.0,0.0,0.0,0.0
East Tennessee State,Buccaneers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2193.png,Southern,2193,0.0,0.0,0.0,0.0,0.0,0.0
Indiana State,Sycamores,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/282.png,MVFC,282,0.0,0.0,0.0,0.0,0.0,0.0
North Dakota,Fighting Hawks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/155.png,MVFC,155,0.0,0.0,0.0,0.0,0.0,0.0
North Dakota State,Bison,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2449.png,MVFC,2449,0.0,0.0,0.0,0.0,0.0,0.0
South Dakota State,Jackrabbits,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2571.png,MVFC,2571,0.0,0.0,0.0,0.0,0.0,0.0
Southern Illinois,Salukis,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/79.png,MVFC,79,0.0,0.0,0.0,0.0,0.0,0.0
UC Davis,Aggies,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/302.png,Big Sky,302,0.0,0.0,0.0,0.0,0.0,0.0
Georgia State,Panthers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2247.png,Sun Belt,2247,0.0,0.0,0.0,0.0,0.0,0.0
Houston Christian,Huskies,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2277.png,Southland,2277,0.0,0.0,0.0,0.0,0.0,0.0
Ohio,Bobcats,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/195.png,MAC,195,0.0,0.0,0.0,0.0,0.0,0.0
Kent State,Golden Flashes,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2309.png,MAC,2309,0.0,0.0,0.0,0.0,0.0,0.0
LSU,Tigers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/99.png,SEC,99,0.0,0.0,0.0,0.0,0.0,0.0
Boston College,Eagles,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/103.png,ACC,103,0.0,0.0,0.0,0.0,0.0,0.0
BYU,Cougars,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/252.png,Big 12,252,0.0,0.0,0.0,0.0,0.0,0.0
South Florida,Bulls,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/58.png,American,58,0.0,0.0,0.0,0.0,0.0,0.0
Arkansas,Razorbacks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/8.png,SEC,8,0.0,0.0,0.0,0.0,0.0,0.0
California,Golden Bears,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/25.png,Pac-12,25,0.0,0.0,0.0,0.0,0.0,0.0
Samford,Bulldogs,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2535.png,Southern,2535,0.0,0.0,0.0,0.0,0.0,0.0
Tennessee Tech,Golden Eagles,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2635.png,Big South-OVC,2635,0.0,0.0,0.0,0.0,0.0,0.0
South Carolina,Gamecocks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2579.png,SEC,2579,0.0,0.0,0.0,0.0,0.0,0.0
Nicholls,Colonels,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2447.png,Southland,2447,0.0,0.0,0.0,0.0,0.0,0.0
