schoolID,logoUrl,name,mascot,record,wins,losses,ties,divisionID
68,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/68.png&h=2000&w=2000,Boise State,Broncos,0-0,0,0,0,24
2634,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2634.png&h=2000&w=2000,Tennessee State,Tigers,0-0,0,0,0,
2459,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2459.png&h=2000&w=2000,Northern Illinois,Huskies,0-0,0,0,0,22
2747,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2747.png&h=2000&w=2000,Wofford,Terriers,0-0,0,0,0,
2142,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2142.png&h=2000&w=2000,Colgate,Raiders,0-0,0,0,0,
295,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/295.png&h=2000&w=2000,Old Dominion,Monarchs,0-0,0,0,0,31
326,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/326.png&h=2000&w=2000,Texas State,Bobcats,0-0,0,0,0,32
2198,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2198.png&h=2000&w=2000,Eastern Kentucky,Colonels,0-0,0,0,0,
2636,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2636.png&h=2000&w=2000,UTSA,Roadrunners,0-0,0,0,0,18
2460,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2460.png&h=2000&w=2000,Northern Iowa,Panthers,0-0,0,0,0,
2546,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2546.png&h=2000&w=2000,Southeast Missouri State,Redhawks,0-0,0,0,0,
2032,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2032.png&h=2000&w=2000,Arkansas State,Red Wolves,0-0,0,0,0,32
2110,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2110.png&h=2000&w=2000,Central Arkansas,Bears,0-0,0,0,0,
242,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/242.png&h=2000&w=2000,Rice,Owls,0-0,0,0,0,18
2641,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2641.png&h=2000&w=2000,Texas Tech,Red Raiders,0-0,0,0,0,14
2029,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2029.png&h=2000&w=2000,Arkansas-Pine Bluff,Golden Lions,0-0,0,0,0,
6,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/6.png&h=2000&w=2000,South Alabama,Jaguars,0-0,0,0,0,32
2006,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2006.png&h=2000&w=2000,Akron,Zips,0-0,0,0,0,21
2569,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2569.png&h=2000&w=2000,South Carolina State,Bulldogs,0-0,0,0,0,
2405,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2405.png&h=2000&w=2000,Monmouth,Hawks,0-0,0,0,0,
2065,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2065.png&h=2000&w=2000,Bethune-Cookman,Wildcats,0-0,0,0,0,
2241,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2241.png&h=2000&w=2000,Gardner-Webb,Runnin' Bulldogs,0-0,0,0,0,
2643,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2643.png&h=2000&w=2000,The Citadel,Bulldogs,0-0,0,0,0,
2083,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2083.png&h=2000&w=2000,Bucknell,Bison,0-0,0,0,0,
399,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/399.png&h=2000&w=2000,Albany,Great Danes,0-0,0,0,0,
2466,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2466.png&h=2000&w=2000,Northwestern State,Demons,0-0,0,0,0,
2016,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2016.png&h=2000&w=2000,Alcorn State,Braves,0-0,0,0,0,
2617,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2617.png&h=2000&w=2000,Stephen F. Austin,Lumberjacks,0-0,0,0,0,
112358,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/112358.png&h=2000&w=2000,Long Island University,Sharks,0-0,0,0,0,
2523,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2523.png&h=2000&w=2000,Robert Morris,Colonials,0-0,0,0,0,
304,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/304.png&h=2000&w=2000,Idaho State,Bengals,0-0,0,0,0,
2803,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2803.png&h=2000&w=2000,Bryant,Bulldogs,0-0,0,0,0,
2393,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2393.png&h=2000&w=2000,Middle Tennessee,Blue Raiders,0-0,0,0,0,18
2717,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2717.png&h=2000&w=2000,Western Carolina,Catamounts,0-0,0,0,0,
2649,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2649.png&h=2000&w=2000,Toledo,Rockets,0-0,0,0,0,22
194,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/194.png&h=2000&w=2000,Ohio State,Buckeyes,0-0,0,0,0,16
328,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/328.png&h=2000&w=2000,Utah State,Aggies,0-0,0,0,0,24
2050,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2050.png&h=2000&w=2000,Ball State,Cardinals,0-0,0,0,0,22
189,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/189.png&h=2000&w=2000,Bowling Green,Falcons,0-0,0,0,0,21
151,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/151.png&h=2000&w=2000,East Carolina,Pirates,0-0,0,0,0,10
2117,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2117.png&h=2000&w=2000,Central Michigan,Chippewas,0-0,0,0,0,22
2545,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2545.png&h=2000&w=2000,SE Louisiana,Lions,0-0,0,0,0,
2710,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2710.png&h=2000&w=2000,Western Illinois,Leathernecks,0-0,0,0,0,
2382,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2382.png&h=2000&w=2000,Mercer,Bears,0-0,0,0,0,
277,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/277.png&h=2000&w=2000,West Virginia,Mountaineers,0-0,0,0,0,14
167,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/167.png&h=2000&w=2000,New Mexico,Lobos,0-0,0,0,0,24
349,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/349.png&h=2000&w=2000,Army,Black Knights,0-0,0,0,0,19
99,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/99.png&h=2000&w=2000,LSU,Tigers,0-0,0,0,0,29
204,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/204.png&h=2000&w=2000,Oregon State,Beavers,0-0,0,0,0,26
228,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/228.png&h=2000&w=2000,Clemson,Tigers,0-0,0,0,0,12
93,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/93.png&h=2000&w=2000,Murray State,Racers,0-0,0,0,0,
251,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/251.png&h=2000&w=2000,Texas,Longhorns,0-0,0,0,0,14
2169,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2169.png&h=2000&w=2000,Delaware State,Hornets,0-0,0,0,0,
2377,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2377.png&h=2000&w=2000,McNeese,Cowboys,0-0,0,0,0,
166,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/166.png&h=2000&w=2000,New Mexico State,Aggies,0-0,0,0,0,19
245,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/245.png&h=2000&w=2000,Texas A&M,Aggies,0-0,0,0,0,29
257,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/257.png&h=2000&w=2000,Richmond,Spiders,0-0,0,0,0,
