away_school_id,home_school_id,away_school_box_score,home_school_box_score,stadium,location,game_timestamp,tv_coverage,betting_line,betting_over_under,stadium_capacity,attendance,away_win_pct,home_win_pct,game_id
151,130,"{'1': '0', '2': '0', '3': '0', '4': '3', 'total': '3'}","{'1': '7', '2': '16', '3': '7', '4': '0', 'total': '30'}",Michigan Stadium,"Ann Arbor, MI ",,,,,"Capacity: 107,601","Capacity: 107,601",,,401520162
194,84,"{'1': '7', '2': '3', '3': '10', '4': '3', 'total': '23'}","{'1': '0', '2': '3', '3': '0', '4': '0', 'total': '3'}","Memorial Stadium (Bloomington, IN)","Bloomington, IN ",,,,,"Capacity: 52,656","Capacity: 52,656",,,401520156
2393,333,"{'1': '0', '2': '0', '3': '7', '4': '0', 'total': '7'}","{'1': '14', '2': '14', '3': '14', '4': '14', 'total': '56'}",Bryant-Denny Stadium,"Tuscaloosa, AL ",,,,,"Capacity: 100,077","Capacity: 100,077",,,401520149
2440,30,"{'1': '7', '2': '0', '3': '0', '4': '7', 'total': '14'}","{'1': '21', '2': '14', '3': '7', '4': '24', 'total': '66'}",Los Angeles Memorial Coliseum,"Los Angeles, CA ",,,,,"Capacity: 77,500","Capacity: 77,500",,,401523996
277,213,"{'1': '0', '2': '7', '3': '0', '4': '8', 'total': '15'}","{'1': '7', '2': '7', '3': '7', '4': '17', 'total': '38'}",Beaver Stadium,"University Park, PA ",,,,,"Capacity: 106,572","Capacity: 106,572",,,401520169
68,264,"{'1': '6', '2': '6', '3': '7', '4': '0', 'total': '19'}","{'1': '0', '2': '28', '3': '7', '4': '21', 'total': '56'}",Husky Stadium,"Seattle, WA ",,,,,"Capacity: 70,138","Capacity: 70,138",,,401523997
242,251,"{'1': '3', '2': '0', '3': '0', '4': '7', 'total': '10'}","{'1': '7', '2': '9', '3': '21', '4': '0', 'total': '37'}",DKR-Texas Memorial Stadium,"Austin, TX ",,,,,"Capacity: 100,119","Capacity: 100,119",,,401525824
258,2633,"{'1': '0', '2': '3', '3': '7', '4': '3', 'total': '13'}","{'1': '7', '2': '14', '3': '14', '4': '14', 'total': '49'}",Nissan Stadium,"Nashville, TN ",,,,,"Capacity: 69,143","Capacity: 69,143",,,401520179
2634,87,"{'1': '3', '2': '0', '3': '0', '4': '0', 'total': '3'}","{'1': '7', '2': '28', '3': '14', '4': '7', 'total': '56'}",Notre Dame Stadium,"Notre Dame, IN ",,,,,"Capacity: 80,795","Capacity: 80,795",,,401525435
2502,2483,"{'1': '7', '2': '0', '3': '0', '4': '0', 'total': '7'}","{'1': '22', '2': '28', '3': '17', '4': '14', 'total': '81'}",Autzen Stadium,"Eugene, OR ",,,,,"Capacity: 54,000","Capacity: 54,000",,,401523992
2546,2306,"{'1': '0', '2': '0', '3': '0', '4': '0', 'total': '0'}","{'1': '7', '2': '28', '3': '3', '4': '7', 'total': '45'}",Bill Snyder Family Stadium,"Manhattan, KS ",,,,,"Capacity: 50,000","Capacity: 50,000",,,401525821
38,2628,"{'1': '7', '2': '10', '3': '14', '4': '14', 'total': '45'}","{'1': '0', '2': '14', '3': '14', '4': '14', 'total': '42'}",Amon G. Carter Stadium,"Fort Worth, TX ",,,,,"Capacity: 46,000","Capacity: 46,000",,,401523994
2084,275,"{'1': '7', '2': '3', '3': '0', '4': '7', 'total': '17'}","{'1': '7', '2': '7', '3': '14', '4': '10', 'total': '38'}",Camp Randall Stadium,"Madison, WI ",,,,,"Capacity: 80,321","Capacity: 80,321",,,401520180
2032,201,"{'1': '0', '2': '0', '3': '0', '4': '0', 'total': '0'}","{'1': '28', '2': '17', '3': '21', '4': '7', 'total': '73'}","Memorial Stadium (Norman, OK)","Norman, OK ",,,,,"Capacity: 86,112","Capacity: 86,112",,,401525822
153,2579,"{'1': '7', '2': '10', '3': '14', '4': '0', 'total': '31'}","{'1': '7', '2': '7', '3': '0', '4': '3', 'total': '17'}",Bank of America Stadium,"Charlotte, NC ",,,,,"Capacity: 73,778","Capacity: 73,778",,,401520167
2382,145,"{'1': '7', '2': '0', '3': '0', '4': '0', 'total': '7'}","{'1': '28', '2': '10', '3': '28', '4': '7', 'total': '73'}",Vaught-Hemingway Stadium,"Oxford, MS ",,,,,"Capacity: 64,038","Capacity: 64,038",,,401520168
167,245,"{'1': '0', '2': '7', '3': '3', '4': '0', 'total': '10'}","{'1': '7', '2': '28', '3': '7', '4': '10', 'total': '52'}",Kyle Field,"College Station, TX ",,,,,"Capacity: 102,733","Capacity: 102,733",,,401520173
6,2655,"{'1': '0', '2': '10', '3': '7', '4': '0', 'total': '17'}","{'1': '10', '2': '14', '3': '7', '4': '6', 'total': '37'}",Yulman Stadium,"New Orleans, LA ",,,,,"Capacity: 30,000","Capacity: 30,000",,,401531347
328,2294,"{'1': '0', '2': '3', '3': '3', '4': '8', 'total': '14'}","{'1': '14', '2': '3', '3': '0', '4': '7', 'total': '24'}",Kinnick Stadium,"Iowa City, IA ",,,,,"Capacity: 69,250","Capacity: 69,250",,,401520157
2050,96,"{'1': '7', '2': '0', '3': '7', '4': '0', 'total': '14'}","{'1': '3', '2': '20', '3': '14', '4': '7', 'total': '44'}",Kroger Field,"Lexington, KY ",,,,,"Capacity: 61,000","Capacity: 61,000",,,401520159
189,2335,"{'1': '0', '2': '14', '3': '10', '4': '0', 'total': '24'}","{'1': '7', '2': '17', '3': '7', '4': '3', 'total': '34'}",,"Lynchburg, VA ",,,,,"Capacity: 25,000","Capacity: 25,000",,,401520160
278,2509,"{'1': '7', '2': '10', '3': '8', '4': '14', 'total': '39'}","{'1': '7', '2': '14', '3': '7', '4': '7', 'total': '35'}",Ross-Ade Stadium,"West Lafayette, IN ",,,,,"Capacity: 57,282","Capacity: 57,282",,,401520170
2348,2567,"{'1': '0', '2': '0', '3': '7', '4': '7', 'total': '14'}","{'1': '14', '2': '17', '3': '0', '4': '7', 'total': '38'}",Gerald J. Ford Stadium,"Dallas, TX ",,,,,"Capacity: 32,000","Capacity: 32,000",,,401520172
2459,103,"{'1': '0', '2': '7', '3': '7', '4': '7', 'total': '6'}","{'1': '0', '2': '0', '3': '7', '4': '14', 'total': '3'}","Alumni Stadium (Chestnut Hill, MA)","Chestnut Hill, MA ",,,,,"Capacity: 44,500","Capacity: 44,500",,,401525464
2341,195,"{'1': '0', '2': '3', '3': '0', '4': '7', 'total': '10'}","{'1': '3', '2': '14', '3': '10', '4': '0', 'total': '27'}",Peden Stadium,"Athens, OH ",,,,,"Capacity: 24,000","Capacity: 24,000",,,401532395
2717,8,"{'1': '3', '2': '0', '3': '7', '4': '3', 'total': '13'}","{'1': '21', '2': '14', '3': '7', '4': '14', 'total': '56'}",,"Little Rock, AR ",,,,,"Capacity: 54,120","Capacity: 54,120",,,401520150
2523,2005,"{'1': '0', '2': '0', '3': '0', '4': '7', 'total': '7'}","{'1': '14', '2': '14', '3': '7', '4': '7', 'total': '42'}",Falcon Stadium,"USAF Academy, CO ",,,,,"Capacity: 46,692","Capacity: 46,692",,,401532570
2193,55,"{'1': '3', '2': '0', '3': '0', '4': '0', 'total': '3'}","{'1': '14', '2': '7', '3': '21', '4': '7', 'total': '49'}",,"Jacksonville, AL ",,,,,"Capacity: 24,000","Capacity: 24,000",,,401520158
2460,66,"{'1': '0', '2': '0', '3': '3', '4': '6', 'total': '9'}","{'1': '14', '2': '9', '3': '7', '4': '0', 'total': '30'}",Jack Trice Stadium,"Ames, IA ",,,,,"Capacity: 61,500","Capacity: 61,500",,,401525820
2006,218,"{'1': '7', '2': '14', '3': '0', '4': '0', 'total': '21'}","{'1': '0', '2': '10', '3': '6', '4': '8', 'total': '24'}",Lincoln Financial Field,"Philadelphia, PA ",,,,,"Capacity: 69,879","Capacity: 69,879",,,401531387
113,2,"{'1': '7', '2': '0', '3': '0', '4': '7', 'total': '14'}","{'1': '10', '2': '21', '3': '21', '4': '7', 'total': '59'}",Jordan-Hare Stadium,"Auburn, AL ",,,,,"Capacity: 87,451","Capacity: 87,451",,,401520151
119,120,"{'1': '0', '2': '3', '3': '3', '4': '0', 'total': '6'}","{'1': '21', '2': '7', '3': '7', '4': '3', 'total': '38'}",SECU Stadium,"College Park, MD ",,,,,"Capacity: 54,000","Capacity: 54,000",,,401520161
58,98,"{'1': '14', '2': '3', '3': '7', '4': '0', 'total': '24'}","{'1': '7', '2': '10', '3': '14', '4': '10', 'total': '41'}",Houchens Industries-L.T. Smith Stadium,"Bowling Green, KY ",,,,,"Capacity: 23,776","Capacity: 23,776",,,401520181
2747,221,"{'1': '0', '2': '0', '3': '0', '4': '7', 'total': '7'}","{'1': '7', '2': '21', '3': '10', '4': '7', 'total': '45'}",Acrisure Stadium,"Pittsburgh, PA ",,,,,"Capacity: 68,400","Capacity: 68,400",,,401525465
2198,2132,"{'1': '0', '2': '7', '3': '3', '4': '3', 'total': '13'}","{'1': '21', '2': '21', '3': '10', '4': '14', 'total': '66'}",Nippert Stadium,"Cincinnati, OH ",,,,,"Capacity: 38,088","Capacity: 38,088",,,401525818
2241,2026,"{'1': '0', '2': '10', '3': '14', '4': '0', 'total': '24'}","{'1': '7', '2': '7', '3': '17', '4': '14', 'total': '45'}",Kidd Brewer Stadium,"Boone, NC ",,,,,"Capacity: 30,000","Capacity: 30,000",,,401531835
2545,344,"{'1': '0', '2': '7', '3': '0', '4': '0', 'total': '7'}","{'1': '3', '2': '17', '3': '7', '4': '21', 'total': '48'}",Davis Wade Stadium,"Starkville, MS ",,,,,"Capacity: 61,337","Capacity: 61,337",,,401520164
25,249,"{'1': '14', '2': '19', '3': '15', '4': '10', 'total': '58'}","{'1': '7', '2': '14', '3': '0', '4': '0', 'total': '21'}",DATCU Stadium,"Denton, TX ",,,,,"Capacity: 30,850","Capacity: 30,850",,,401523991
2142,183,"{'1': '0', '2': '0', '3': '0', '4': '0', 'total': '0'}","{'1': '23', '2': '14', '3': '28', '4': '0', 'total': '65'}",JMA Wireless Dome,"Syracuse, NY ",,,,,"Capacity: 49,057","Capacity: 49,057",,,401525466
2803,2439,"{'1': '0', '2': '0', '3': '7', '4': '7', 'total': '14'}","{'1': '17', '2': '7', '3': '17', '4': '3', 'total': '44'}",Allegiant Stadium,"Las Vegas, NV ",,,,,"Capacity: 65,000","Capacity: 65,000",,,401532572
2569,2429,"{'1': '0', '2': '3', '3': '0', '4': '0', 'total': '3'}","{'1': '0', '2': '17', '3': '0', '4': '7', 'total': '24'}",Jerry Richardson Stadium,"Charlotte, NC ",,,,,"Capacity: 15,300","Capacity: 15,300",,,401531402
2405,2226,"{'1': '7', '2': '7', '3': '0', '4': '6', 'total': '20'}","{'1': '14', '2': '14', '3': '14', '4': '0', 'total': '42'}",FAU Stadium,"Boca Raton, FL ",,,,,"Capacity: 29,571","Capacity: 29,571",,,401531418
2643,290,"{'1': '0', '2': '0', '3': '0', '4': '0', 'total': '0'}","{'1': '14', '2': '10', '3': '7', '4': '3', 'total': '34'}",,"Statesboro, GA ",,,,,"Capacity: 25,000","Capacity: 25,000",,,401531836
2083,256,"{'1': '0', '2': '3', '3': '0', '4': '0', 'total': '3'}","{'1': '3', '2': '14', '3': '7', '4': '14', 'total': '38'}",,"Harrisonburg, VA ",,,,,"Capacity: 24,877","Capacity: 24,877",,,401531837
399,276,"{'1': '0', '2': '3', '3': '14', '4': '0', 'total': '17'}","{'1': '0', '2': '0', '3': '14', '4': '7', 'total': '21'}",Joan C. Edwards Stadium,"Huntington, WV ",,,,,"Capacity: 38,016","Capacity: 38,016",,,401531838
311,2229,"{'1': '3', '2': '3', '3': '6', '4': '0', 'total': '12'}","{'1': '7', '2': '7', '3': '0', '4': '0', 'total': '14'}",Riccardo Silva Stadium,"Miami, FL ",,,,,"Capacity: 20,000","Capacity: 20,000",,,401520153
349,2433,"{'1': '0', '2': '10', '3': '0', '4': '3', 'total': '13'}","{'1': '0', '2': '3', '3': '0', '4': '14', 'total': '17'}",,"Monroe, LA ",,,,,"Capacity: 30,427","Capacity: 30,427",,,401520175
2010,238,"{'1': '3', '2': '0', '3': '7', '4': '3', 'total': '13'}","{'1': '5', '2': '7', '3': '14', '4': '21', 'total': '47'}",FirstBank Stadium,"Nashville, TN ",,,,,"Capacity: 40,350","Capacity: 40,350",,,401520178
265,36,"{'1': '7', '2': '10', '3': '12', '4': '21', 'total': '50'}","{'1': '3', '2': '0', '3': '0', '4': '21', 'total': '24'}",,"Fort Collins, CO ",,,,,"Capacity: 36,500","Capacity: 36,500",,,401523990
326,239,"{'1': '14', '2': '14', '3': '7', '4': '7', 'total': '42'}","{'1': '6', '2': '7', '3': '11', '4': '7', 'total': '31'}",McLane Stadium,"Waco, TX ",,,,,"Capacity: 45,140","Capacity: 45,140",,,401525817
2636,248,"{'1': '7', '2': '0', '3': '0', '4': '7', 'total': '14'}","{'1': '7', '2': '3', '3': '7', '4': '0', 'total': '17'}",TDECU Stadium,"Houston, TX ",,,,,"Capacity: 40,000","Capacity: 40,000",,,401525819
2110,197,"{'1': '0', '2': '0', '3': '7', '4': '6', 'total': '13'}","{'1': '7', '2': '6', '3': '0', '4': '14', 'total': '27'}",Boone Pickens Stadium,"Stillwater, OK ",,,,,"Capacity: 55,509","Capacity: 55,509",,,401525823
2065,235,"{'1': '7', '2': '0', '3': '0', '4': '7', 'total': '14'}","{'1': '10', '2': '18', '3': '21', '4': '7', 'total': '56'}",Simmons Bank Liberty Stadium,"Memphis, TN ",,,,,"Capacity: 58,325","Capacity: 58,325",,,401531426
2016,2572,"{'1': '7', '2': '0', '3': '0', '4': '7', 'total': '14'}","{'1': '17', '2': '10', '3': '10', '4': '3', 'total': '40'}",M. M. Roberts Stadium,"Hattiesburg, MS ",,,,,"Capacity: 36,000","Capacity: 36,000",,,401531840
2617,2653,"{'1': '3', '2': '17', '3': '0', '4': '10', 'total': '30'}","{'1': '21', '2': '10', '3': '10', '4': '7', 'total': '48'}",Veterans Memorial Stadium (AL),"Troy, AL ",,,,,"Capacity: 30,000","Capacity: 30,000",,,401531841
2649,356,"{'1': '3', '2': '9', '3': '7', '4': '9', 'total': '28'}","{'1': '7', '2': '0', '3': '13', '4': '10', 'total': '30'}","Memorial Stadium (Champaign, IL)","Champaign, IL ",,,,,"Capacity: 60,670","Capacity: 60,670",,,401520155
295,259,"{'1': '0', '2': '10', '3': '7', '4': '0', 'total': '17'}","{'1': '2', '2': '14', '3': '14', '4': '6', 'total': '36'}",Lane Stadium,"Blacksburg, VA ",,,,,"Capacity: 65,632","Capacity: 65,632",,,401525467
2466,309,"{'1': '3', '2': '3', '3': '0', '4': '7', 'total': '13'}","{'1': '7', '2': '14', '3': '7', '4': '10', 'total': '38'}",Cajun Field,"Lafayette, LA ",,,,,"Capacity: 41,426","Capacity: 41,426",,,401531839
2641,2751,"{'1': '17', '2': '0', '3': '0', '4': '3', 'total': '13'}","{'1': '0', '2': '10', '3': '7', '4': '3', 'total': '15'}",Jonah Field at War Memorial Stadium,"Laramie, WY ",,,,,"Capacity: 29,181","Capacity: 29,181",,,401525825
2710,166,"{'1': '0', '2': '14', '3': '7', '4': '0', 'total': '21'}","{'1': '6', '2': '14', '3': '17', '4': '21', 'total': '58'}",Aggie Memorial Stadium,"Las Cruces, NM ",,,,,"Capacity: 28,853","Capacity: 28,853",,,401520166
2916,2638,"{'1': '7', '2': '7', '3': '0', '4': '0', 'total': '14'}","{'1': '7', '2': '7', '3': '7', '4': '7', 'total': '28'}",Sun Bowl,"El Paso, TX ",,,,,"Capacity: 45,971","Capacity: 45,971",,,401520177
2464,12,"{'1': '0', '2': '3', '3': '0', '4': '0', 'total': '3'}","{'1': '7', '2': '7', '3': '21', '4': '3', 'total': '38'}",Arizona Stadium,"Tucson, AZ ",,,,,"Capacity: 50,782","Capacity: 50,782",,,401523989
2534,252,"{'1': '0', '2': '0', '3': '0', '4': '0', 'total': '0'}","{'1': '7', '2': '0', '3': '0', '4': '7', 'total': '14'}",LaVell Edwards Stadium,"Provo, UT ",,,,,"Capacity: 63,470","Capacity: 63,470",,,401520152
324,26,"{'1': '0', '2': '6', '3': '7', '4': '0', 'total': '13'}","{'1': '7', '2': '7', '3': '0', '4': '13', 'total': '27'}",Rose Bowl,"Pasadena, CA ",,,,,"Capacity: 88,565","Capacity: 88,565",,,401523995
304,21,"{'1': '3', '2': '10', '3': '0', '4': '15', 'total': '28'}","{'1': '10', '2': '10', '3': '9', '4': '7', 'total': '36'}",Snapdragon Stadium,"San Diego, CA ",,,,,"Capacity: 35,000","Capacity: 35,000",,,401532571
99,52,"{'1': '7', '2': '10', '3': '0', '4': '7', 'total': '24'}","{'1': '7', '2': '7', '3': '10', '4': '21', 'total': '45'}",,"Orlando, FL ",,,,,"Capacity: 65,000","Capacity: 65,000",,,401520182
204,23,"{'1': '7', '2': '14', '3': '7', '4': '14', 'total': '42'}","{'1': '0', '2': '3', '3': '0', '4': '14', 'total': '17'}",CEFCU Stadium,"San Jose, CA ",,,,,"Capacity: 30,456","Capacity: 30,456",,,401532573
77,164,"{'1': '0', '2': '0', '3': '0', '4': '7', 'total': '7'}","{'1': '7', '2': '10', '3': '7', '4': '0', 'total': '24'}",SHI Stadium,"Piscataway, NJ ",,,,,"Capacity: 52,454","Capacity: 52,454",,,401520171
228,150,"{'1': '0', '2': '7', '3': '0', '4': '0', 'total': '7'}","{'1': '3', '2': '3', '3': '7', '4': '15', 'total': '28'}",Wallace Wade Stadium,"Durham, NC ",,,,,"Capacity: 40,004","Capacity: 40,004",,,401525468
93,97,"{'1': '0', '2': '0', '3': '0', '4': '0', 'total': '0'}","{'1': '7', '2': '21', '3': '14', '4': '14', 'total': '56'}",Cardinal Stadium,"Louisville, KY ",,,,,"Capacity: 60,000","Capacity: 60,000",,,401525469
282,84,"{'1': '0', '2': '7', '3': '0', '4': '0', 'total': '7'}","{'1': '21', '2': '3', '3': '7', '4': '10', 'total': '41'}","Memorial Stadium (Bloomington, IN)","Bloomington, IN ",,,,,"Capacity: 52,656","Capacity: 52,656",,,401520193
356,2305,"{'1': '0', '2': '7', '3': '8', '4': '8', 'total': '23'}","{'1': '14', '2': '14', '3': '6', '4': '0', 'total': '34'}",David Booth Kansas Memorial Stadium,"Lawrence, KS ",,,,,"Capacity: 47,000","Capacity: 47,000",,,401520195
2050,61,"{'1': '0', '2': '0', '3': '0', '4': '3', 'total': '3'}","{'1': '0', '2': '31', '3': '14', '4': '0', 'total': '45'}",Sanford Stadium,"Athens, GA ",,,,,"Capacity: 92,746","Capacity: 92,746",,,401520191
2439,130,"{'1': '0', '2': '0', '3': '0', '4': '7', 'total': '7'}","{'1': '7', '2': '14', '3': '14', '4': '0', 'total': '35'}",Michigan Stadium,"Ann Arbor, MI ",,,,,"Capacity: 107,601","Capacity: 107,601",,,401520202
251,333,"{'1': '3', '2': '10', '3': '0', '4': '21', 'total': '34'}","{'1': '0', '2': '6', '3': '10', '4': '8', 'total': '24'}",Bryant-Denny Stadium,"Tuscaloosa, AL ",,,,,"Capacity: 100,077","Capacity: 100,077",,,401520183
2572,52,"{'1': '0', '2': '3', '3': '7', '4': '3', 'total': '13'}","{'1': '14', '2': '17', '3': '21', '4': '14', 'total': '66'}",Doak Campbell Stadium,"Tallahassee, FL ",,,,,"Capacity: 79,560","Capacity: 79,560",,,401525493
2754,194,"{'1': '7', '2': '0', '3': '0', '4': '0', 'total': '7'}","{'1': '14', '2': '14', '3': '7', '4': '0', 'total': '35'}",Ohio Stadium,"Columbus, OH ",,,,,"Capacity: 102,780","Capacity: 102,780",,,401520208
24,30,"{'1': '0', '2': '3', '3': '0', '4': '7', 'total': '10'}","{'1': '21', '2': '28', '3': '0', '4': '7', 'total': '56'}",Los Angeles Memorial Coliseum,"Los Angeles, CA ",,,,,"Capacity: 77,500","Capacity: 77,500",,,401524003
48,213,"{'1': '7', '2': '0', '3': '0', '4': '0', 'total': '7'}","{'1': '14', '2': '21', '3': '21', '4': '7', 'total': '63'}",Beaver Stadium,"University Park, PA ",,,,,"Capacity: 106,572","Capacity: 106,572",,,401520209
202,264,"{'1': '3', '2': '0', '3': '0', '4': '7', 'total': '10'}","{'1': '14', '2': '8', '3': '14', '4': '7', 'total': '43'}",Husky Stadium,"Seattle, WA ",,,,,"Capacity: 70,138","Capacity: 70,138",,,401524004
2046,2633,"{'1': '3', '2': '3', '3': '0', '4': '7', 'total': '13'}","{'1': '3', '2': '10', '3': '10', '4': '7', 'total': '30'}",Neyland Stadium,"Knoxville, TN ",,,,,"Capacity: 101,915","Capacity: 101,915",,,401520213
87,152,"{'1': '3', '2': '14', '3': '7', '4': '21', 'total': '45'}","{'1': '0', '2': '7', '3': '10', '4': '7', 'total': '24'}",Carter-Finley Stadium,"Raleigh, NC ",,,,,"Capacity: 56,919","Capacity: 56,919",,,401525436
254,239,"{'1': '0', '2': '3', '3': '3', '4': '14', 'total': '20'}","{'1': '0', '2': '10', '3': '3', '4': '0', 'total': '13'}",McLane Stadium,"Waco, TX ",,,,,"Capacity: 45,140","Capacity: 45,140",,,401523999
