away_school_id,home_school_id,away_school_box_score,home_school_box_score,stadium,location,game_timestamp,tv_coverage,betting_line,betting_over_under,stadium_capacity,attendance,away_win_pct,home_win_pct,game_id,away_team_id,home_team_id,away_team_box_score,home_team_box_score
,,,,Hard Rock Stadium,"Miami Gardens, FL ",,,,,"Capacity: 64,992","Attendance: 49,024",,,401525463,193,2390,"{'1': '0', '2': '3', '3': '0', '4': '0', 'total': '3'}","{'1': '10', '2': '6', '3': '8', '4': '14', 'total': '38'}"
,,,,Mercedes-Benz Stadium,"Atlanta, GA ",,,,,"Capacity: 75,000",,,,401525462,97,59,"{'1': '6', '2': '7', '3': '10', '4': '16', 'total': '39'}","{'1': '0', '2': '28', '3': '0', '4': '6', 'total': '34'}"
,,,,David Booth Kansas Memorial Stadium,"Lawrence, KS ",,,,,"Capacity: 47,000","Attendance: 41,091",,,401525815,2623,2305,"{'1': '7', '2': '3', '3': '0', '4': '7', 'total': '17'}","{'1': '7', '2': '10', '3': '10', '4': '21', 'total': '48'}"
,,,,,"Honolulu, HI ",,,,,"Capacity: 17,000","Attendance: 13,739",,,401523988,24,62,"{'1': '7', '2': '14', '3': '6', '4': '10', 'total': '37'}","{'1': '0', '2': '10', '3': '0', '4': '14', 'total': '24'}"
,,,,Sanford Stadium,"Athens, GA ",,,,,"Capacity: 92,746","Attendance: 92,746",,,401520154,2630,61,"{'1': '0', '2': '0', '3': '0', '4': '7', 'total': '7'}","{'1': '7', '2': '10', '3': '14', '4': '17', 'total': '48'}"
,,,,Michigan Stadium,"Ann Arbor, MI ",,,,,"Capacity: 107,601","Attendance: 109,480",,,401520162,151,130,"{'1': '0', '2': '0', '3': '0', '4': '3', 'total': '3'}","{'1': '7', '2': '16', '3': '7', '4': '0', 'total': '30'}"
,,,,"Memorial Stadium (Bloomington, IN)","Bloomington, IN ",,,,,"Capacity: 52,656","Attendance: 50,050",,,401520156,194,84,"{'1': '7', '2': '3', '3': '10', '4': '3', 'total': '23'}","{'1': '0', '2': '3', '3': '0', '4': '0', 'total': '3'}"
,,,,Bryant-Denny Stadium,"Tuscaloosa, AL ",,,,,"Capacity: 100,077","Attendance: 100,077",,,401520149,2393,333,"{'1': '0', '2': '0', '3': '7', '4': '0', 'total': '7'}","{'1': '14', '2': '14', '3': '14', '4': '14', 'total': '56'}"
,,,,Los Angeles Memorial Coliseum,"Los Angeles, CA ",,,,,"Capacity: 77,500","Attendance: 62,916",,,401523996,2440,30,"{'1': '7', '2': '0', '3': '0', '4': '7', 'total': '14'}","{'1': '21', '2': '14', '3': '7', '4': '24', 'total': '66'}"
,,,,Beaver Stadium,"University Park, PA ",,,,,"Capacity: 106,572","Attendance: 110,747",,,401520169,277,213,"{'1': '0', '2': '7', '3': '0', '4': '8', 'total': '15'}","{'1': '7', '2': '7', '3': '7', '4': '17', 'total': '38'}"
,,,,Husky Stadium,"Seattle, WA ",,,,,"Capacity: 70,138","Attendance: 67,475",,,401523997,68,264,"{'1': '6', '2': '6', '3': '7', '4': '0', 'total': '19'}","{'1': '0', '2': '28', '3': '7', '4': '21', 'total': '56'}"
,,,,DKR-Texas Memorial Stadium,"Austin, TX ",,,,,"Capacity: 100,119","Attendance: 98,017",,,401525824,242,251,"{'1': '3', '2': '0', '3': '0', '4': '7', 'total': '10'}","{'1': '7', '2': '9', '3': '21', '4': '0', 'total': '37'}"
,,,,Nissan Stadium,"Nashville, TN ",,,,,"Capacity: 69,143","Attendance: 69,507",,,401520179,258,2633,"{'1': '0', '2': '3', '3': '7', '4': '3', 'total': '13'}","{'1': '7', '2': '14', '3': '14', '4': '14', 'total': '49'}"
,,,,Notre Dame Stadium,"Notre Dame, IN ",,,,,"Capacity: 80,795","Attendance: 77,622",,,401525435,2634,87,"{'1': '3', '2': '0', '3': '0', '4': '0', 'total': '3'}","{'1': '7', '2': '28', '3': '14', '4': '7', 'total': '56'}"
,,,,Autzen Stadium,"Eugene, OR ",,,,,"Capacity: 54,000","Attendance: 45,723",,,401523992,2502,2483,"{'1': '7', '2': '0', '3': '0', '4': '0', 'total': '7'}","{'1': '22', '2': '28', '3': '17', '4': '14', 'total': '81'}"
,,,,Bill Snyder Family Stadium,"Manhattan, KS ",,,,,"Capacity: 50,000","Attendance: 52,066",,,401525821,2546,2306,"{'1': '0', '2': '0', '3': '0', '4': '0', 'total': '0'}","{'1': '7', '2': '28', '3': '3', '4': '7', 'total': '45'}"
,,,,Amon G. Carter Stadium,"Fort Worth, TX ",,,,,"Capacity: 46,000","Attendance: 53,294",,,401523994,38,2628,"{'1': '7', '2': '10', '3': '14', '4': '14', 'total': '45'}","{'1': '0', '2': '14', '3': '14', '4': '14', 'total': '42'}"
,,,,Camp Randall Stadium,"Madison, WI ",,,,,"Capacity: 80,321","Attendance: 76,224",,,401520180,2084,275,"{'1': '7', '2': '3', '3': '0', '4': '7', 'total': '17'}","{'1': '7', '2': '7', '3': '14', '4': '10', 'total': '38'}"
,,,,"Memorial Stadium (Norman, OK)","Norman, OK ",,,,,"Capacity: 86,112","Attendance: 83,221",,,401525822,2032,201,"{'1': '0', '2': '0', '3': '0', '4': '0', 'total': '0'}","{'1': '28', '2': '17', '3': '21', '4': '7', 'total': '73'}"
,,,,Bank of America Stadium,"Charlotte, NC ",,,,,"Capacity: 73,778","Attendance: 68,723",,,401520167,153,2579,"{'1': '7', '2': '10', '3': '14', '4': '0', 'total': '31'}","{'1': '7', '2': '7', '3': '0', '4': '3', 'total': '17'}"
,,,,Vaught-Hemingway Stadium,"Oxford, MS ",,,,,"Capacity: 64,038","Attendance: 60,097",,,401520168,2382,145,"{'1': '7', '2': '0', '3': '0', '4': '0', 'total': '7'}","{'1': '28', '2': '10', '3': '28', '4': '7', 'total': '73'}"
,,,,Kyle Field,"College Station, TX ",,,,,"Capacity: 102,733","Attendance: 97,560",,,401520173,167,245,"{'1': '0', '2': '7', '3': '3', '4': '0', 'total': '10'}","{'1': '7', '2': '28', '3': '7', '4': '10', 'total': '52'}"
,,,,Yulman Stadium,"New Orleans, LA ",,,,,"Capacity: 30,000","Attendance: 26,973",,,401531347,6,2655,"{'1': '0', '2': '10', '3': '7', '4': '0', 'total': '17'}","{'1': '10', '2': '14', '3': '7', '4': '6', 'total': '37'}"
,,,,Kinnick Stadium,"Iowa City, IA ",,,,,"Capacity: 69,250","Attendance: 69,250",,,401520157,328,2294,"{'1': '0', '2': '3', '3': '3', '4': '8', 'total': '14'}","{'1': '14', '2': '3', '3': '0', '4': '7', 'total': '24'}"
,,,,Kroger Field,"Lexington, KY ",,,,,"Capacity: 61,000","Attendance: 58,286",,,401520159,2050,96,"{'1': '7', '2': '0', '3': '7', '4': '0', 'total': '14'}","{'1': '3', '2': '20', '3': '14', '4': '7', 'total': '44'}"
,,,,,"Lynchburg, VA ",,,,,"Capacity: 25,000","Attendance: 18,811",,,401520160,189,2335,"{'1': '0', '2': '14', '3': '10', '4': '0', 'total': '24'}","{'1': '7', '2': '17', '3': '7', '4': '3', 'total': '34'}"
,,,,Ross-Ade Stadium,"West Lafayette, IN ",,,,,"Capacity: 57,282","Attendance: 54,898",,,401520170,278,2509,"{'1': '7', '2': '10', '3': '8', '4': '14', 'total': '39'}","{'1': '7', '2': '14', '3': '7', '4': '7', 'total': '35'}"
